epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,116.928,0.68219,0.74775,1,0.8575,0.000198425,0.000198425,0.0803559
2,225.698,0.34735,0.84384,1,0.47649,0.000398273,0.000398273,0.0605558
3,329.186,0.33609,0.8979,1,0.34384,0.000597512,0.000597512,0.040755
4,438.003,0.24854,0.9039,1,0.25714,0.000795686,0.000795686,0.0209532
5,546.612,0.22522,0.93093,1,0.19871,0.000992341,0.000992341,0.00114982
6,660.12,0.23518,0.93393,1,0.24361,0.000990489,0.000990489,0.000990489
7,775.009,0.20114,0.89189,1,0.27311,0.000986323,0.000986323,0.000986323
8,882.014,0.17216,0.88288,1,0.41835,0.000981415,0.000981415,0.000981415
9,989.698,0.18259,0.91592,1,0.23744,0.000975773,0.000975773,0.000975773
10,1101.96,0.14205,0.91291,1,0.31673,0.000969405,0.000969405,0.000969405
11,1209.29,0.09949,0.94294,0.997,0.1768,0.00096232,0.00096232,0.00096232
12,1326.26,0.09439,0.95796,1,0.14405,0.000954531,0.000954531,0.000954531
13,1435.41,0.10077,0.96396,1,0.12712,0.000946048,0.000946048,0.000946048
14,1550.07,0.10554,0.91291,1,0.25563,0.000936886,0.000936886,0.000936886
15,1656.19,0.10107,0.94595,1,0.15898,0.000927057,0.000927057,0.000927057
16,1760.93,0.06615,0.9009,1,0.37958,0.000916577,0.000916577,0.000916577
17,1866.69,0.04647,0.97598,1,0.09243,0.000905463,0.000905463,0.000905463
18,1974.65,0.04062,0.98198,1,0.07405,0.000893732,0.000893732,0.000893732
19,2088.82,0.04761,0.96697,1,0.11046,0.000881401,0.000881401,0.000881401
20,2191.84,0.05673,0.94595,1,0.1649,0.00086849,0.00086849,0.00086849
21,2296.06,0.06108,0.96697,1,0.13852,0.000855018,0.000855018,0.000855018
22,2402.43,0.05361,0.94895,0.997,0.1905,0.000841006,0.000841006,0.000841006
23,2508.52,0.0336,0.94895,1,0.13463,0.000826477,0.000826477,0.000826477
24,2613.84,0.02664,0.96396,1,0.11752,0.000811452,0.000811452,0.000811452
25,2718.87,0.03521,0.95495,0.997,0.17431,0.000795954,0.000795954,0.000795954
26,2822.7,0.02934,0.93694,1,0.20922,0.000780007,0.000780007,0.000780007
27,2927.12,0.02892,0.95796,1,0.18113,0.000763637,0.000763637,0.000763637
28,3032.52,0.02865,0.96697,1,0.09807,0.000746868,0.000746868,0.000746868
29,3139.08,0.02705,0.92793,1,0.21643,0.000729725,0.000729725,0.000729725
30,3243.35,0.03054,0.96697,1,0.16323,0.000712237,0.000712237,0.000712237
31,3350.26,0.02514,0.94895,1,0.20321,0.000694428,0.000694428,0.000694428
32,3455.48,0.02124,0.96396,1,0.15903,0.000676328,0.000676328,0.000676328
33,3560.57,0.02185,0.96997,1,0.11805,0.000657963,0.000657963,0.000657963
34,3665.6,0.02452,0.96997,1,0.10879,0.000639363,0.000639363,0.000639363
35,3770.67,0.0168,0.96096,1,0.16384,0.000620555,0.000620555,0.000620555
36,3878.1,0.01242,0.96697,1,0.13754,0.00060157,0.00060157,0.00060157
37,3986.49,0.00918,0.96396,1,0.13993,0.000582435,0.000582435,0.000582435
38,4097.37,0.01267,0.96997,1,0.14616,0.000563181,0.000563181,0.000563181
39,4202.61,0.01056,0.95195,1,0.18384,0.000543837,0.000543837,0.000543837
40,4306.65,0.00939,0.96396,1,0.13015,0.000524434,0.000524434,0.000524434
41,4412.45,0.00697,0.95495,1,0.17515,0.000505,0.000505,0.000505
42,4516.77,0.00553,0.95796,1,0.18504,0.000485566,0.000485566,0.000485566
43,4620.15,0.00978,0.96096,1,0.12988,0.000466163,0.000466163,0.000466163
44,4723.38,0.00747,0.97297,1,0.14838,0.000446819,0.000446819,0.000446819
45,4826.33,0.02122,0.97297,1,0.10437,0.000427565,0.000427565,0.000427565
46,4931.15,0.00572,0.97598,1,0.09764,0.00040843,0.00040843,0.00040843
47,5034.38,0.00596,0.96096,1,0.17996,0.000389445,0.000389445,0.000389445
48,5138.41,0.00337,0.97297,1,0.10527,0.000370637,0.000370637,0.000370637
