epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.0515,1.049,0.96396,1,0.11536,0.000329412,0.000329412,0.000329412
2,37.748,0.21705,0.90691,1,0.30227,0.000656184,0.000656184,0.000656184
3,54.3952,0.20354,0.96697,1,0.14508,0.000976356,0.000976356,0.000976356
4,70.1568,0.30672,0.93093,1,0.24001,0.0009703,0.0009703,0.0009703
5,85.8203,0.32645,0.9039,1,0.3427,0.0009604,0.0009604,0.0009604
6,101.807,0.24767,0.92793,1,0.2114,0.0009505,0.0009505,0.0009505
7,118.602,0.25881,0.96997,1,0.09301,0.0009406,0.0009406,0.0009406
8,134.483,0.19044,0.95195,1,0.12944,0.0009307,0.0009307,0.0009307
9,150.22,0.24931,0.97297,1,0.08267,0.0009208,0.0009208,0.0009208
10,166.126,0.17869,0.96697,1,0.11154,0.0009109,0.0009109,0.0009109
11,181.925,0.13552,0.97598,1,0.0896,0.000901,0.000901,0.000901
12,199.049,0.16606,0.95796,1,0.12916,0.0008911,0.0008911,0.0008911
13,214.594,0.12223,0.99099,1,0.02387,0.0008812,0.0008812,0.0008812
14,230.746,0.11018,0.97297,1,0.06407,0.0008713,0.0008713,0.0008713
15,246.398,0.09268,0.95495,1,0.16415,0.0008614,0.0008614,0.0008614
16,262.214,0.06376,0.97297,1,0.05409,0.0008515,0.0008515,0.0008515
17,279.149,0.09919,0.97598,0.997,0.09693,0.0008416,0.0008416,0.0008416
18,295.207,0.07743,0.96997,1,0.06094,0.0008317,0.0008317,0.0008317
19,311.218,0.10768,0.97898,1,0.06937,0.0008218,0.0008218,0.0008218
20,327.079,0.14129,0.97297,1,0.07331,0.0008119,0.0008119,0.0008119
21,342.733,0.07896,0.99099,1,0.0342,0.000802,0.000802,0.000802
22,359.45,0.09078,0.98799,1,0.07326,0.0007921,0.0007921,0.0007921
23,375.412,0.06557,0.98498,1,0.04386,0.0007822,0.0007822,0.0007822
24,391.233,0.09748,0.98799,1,0.03963,0.0007723,0.0007723,0.0007723
25,406.961,0.06096,1,1,0.011,0.0007624,0.0007624,0.0007624
26,422.872,0.07048,1,1,0.00651,0.0007525,0.0007525,0.0007525
27,440.591,0.06895,0.99099,1,0.05321,0.0007426,0.0007426,0.0007426
28,457.224,0.07831,0.97598,1,0.07857,0.0007327,0.0007327,0.0007327
29,473.513,0.0706,0.98498,1,0.04578,0.0007228,0.0007228,0.0007228
30,489.231,0.04634,0.99099,1,0.01915,0.0007129,0.0007129,0.0007129
31,505.506,0.07846,0.98198,1,0.04578,0.000703,0.000703,0.000703
32,522.122,0.02671,1,1,0.00992,0.0006931,0.0006931,0.0006931
33,538.127,0.04119,0.99099,1,0.03885,0.0006832,0.0006832,0.0006832
34,554.006,0.06155,0.98799,1,0.01957,0.0006733,0.0006733,0.0006733
35,569.756,0.05792,0.98498,1,0.04427,0.0006634,0.0006634,0.0006634
36,585.98,0.04265,0.99399,1,0.02268,0.0006535,0.0006535,0.0006535
37,603.033,0.02256,0.99099,1,0.0218,0.0006436,0.0006436,0.0006436
38,618.847,0.03577,0.997,1,0.0165,0.0006337,0.0006337,0.0006337
39,634.727,0.0377,0.98498,1,0.02956,0.0006238,0.0006238,0.0006238
40,650.582,0.05319,0.99099,1,0.02591,0.0006139,0.0006139,0.0006139
41,666.847,0.03828,0.98799,1,0.03261,0.000604,0.000604,0.000604
42,683.726,0.03069,0.98498,1,0.04566,0.0005941,0.0005941,0.0005941
43,699.562,0.03043,0.98799,1,0.04882,0.0005842,0.0005842,0.0005842
44,715.477,0.03625,0.98498,1,0.04651,0.0005743,0.0005743,0.0005743
45,731.226,0.01732,0.99399,1,0.02767,0.0005644,0.0005644,0.0005644
46,747.925,0.01555,0.99099,1,0.02466,0.0005545,0.0005545,0.0005545
47,764.24,0.02563,0.99099,1,0.03619,0.0005446,0.0005446,0.0005446
48,780.257,0.02096,0.98799,1,0.03653,0.0005347,0.0005347,0.0005347
