epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.2804,1.14474,0.96997,1,0.18691,0.000325581,0.000325581,0.000325581
2,34.213,0.14261,0.98498,1,0.0447,0.000652391,0.000652391,0.000652391
3,47.7266,0.21932,0.84685,1,0.4056,0.000972602,0.000972602,0.000972602
4,61.2895,0.3093,0.91291,1,0.30815,0.0009703,0.0009703,0.0009703
5,74.6501,0.35193,0.95195,1,0.13486,0.0009604,0.0009604,0.0009604
6,88.2346,0.23509,0.96997,1,0.09332,0.0009505,0.0009505,0.0009505
7,101.559,0.24364,0.91892,1,0.2001,0.0009406,0.0009406,0.0009406
8,115.336,0.14293,0.95195,1,0.13032,0.0009307,0.0009307,0.0009307
9,129.272,0.20013,0.98799,1,0.03912,0.0009208,0.0009208,0.0009208
10,143.129,0.14407,0.98198,1,0.08046,0.0009109,0.0009109,0.0009109
11,156.732,0.12011,0.96697,1,0.07823,0.000901,0.000901,0.000901
12,170.474,0.12108,0.98198,1,0.04512,0.0008911,0.0008911,0.0008911
13,184.355,0.11324,0.98198,1,0.05317,0.0008812,0.0008812,0.0008812
14,198.205,0.15551,0.95195,1,0.19478,0.0008713,0.0008713,0.0008713
15,212.051,0.17458,0.97297,1,0.08546,0.0008614,0.0008614,0.0008614
16,225.588,0.12736,0.97598,1,0.06639,0.0008515,0.0008515,0.0008515
17,239.671,0.09054,0.95796,1,0.08102,0.0008416,0.0008416,0.0008416
18,252.972,0.07819,0.98799,1,0.02083,0.0008317,0.0008317,0.0008317
19,267.214,0.0803,0.997,1,0.01554,0.0008218,0.0008218,0.0008218
20,281.931,0.07397,0.99399,1,0.01794,0.0008119,0.0008119,0.0008119
21,296.228,0.10157,0.96997,1,0.07897,0.000802,0.000802,0.000802
22,309.913,0.11651,0.98799,1,0.03622,0.0007921,0.0007921,0.0007921
23,323.895,0.0674,0.98799,1,0.02603,0.0007822,0.0007822,0.0007822
24,337.847,0.05227,0.99099,1,0.01923,0.0007723,0.0007723,0.0007723
25,352.155,0.0558,0.98498,1,0.04553,0.0007624,0.0007624,0.0007624
26,366.524,0.06825,0.99099,1,0.02672,0.0007525,0.0007525,0.0007525
27,380.899,0.09005,0.97297,1,0.0817,0.0007426,0.0007426,0.0007426
28,394.678,0.09124,0.96697,1,0.08341,0.0007327,0.0007327,0.0007327
29,408.431,0.09789,0.96697,1,0.07991,0.0007228,0.0007228,0.0007228
30,422.506,0.10859,0.97297,1,0.06679,0.0007129,0.0007129,0.0007129
31,435.993,0.13373,0.98799,1,0.05164,0.000703,0.000703,0.000703
32,449.638,0.08806,0.99099,1,0.02938,0.0006931,0.0006931,0.0006931
33,463.423,0.07313,0.99099,1,0.03473,0.0006832,0.0006832,0.0006832
34,477.167,0.10827,0.98498,1,0.04687,0.0006733,0.0006733,0.0006733
35,490.918,0.07486,0.97598,1,0.08374,0.0006634,0.0006634,0.0006634
36,504.652,0.05751,0.99099,1,0.0323,0.0006535,0.0006535,0.0006535
37,518.12,0.03267,0.98799,1,0.0355,0.0006436,0.0006436,0.0006436
38,531.8,0.04042,0.98799,1,0.02729,0.0006337,0.0006337,0.0006337
39,544.809,0.04339,0.98498,1,0.05062,0.0006238,0.0006238,0.0006238
40,558.243,0.04102,0.98198,1,0.0612,0.0006139,0.0006139,0.0006139
41,571.905,0.05585,0.97598,1,0.07452,0.000604,0.000604,0.000604
42,585.429,0.04396,0.98198,1,0.04375,0.0005941,0.0005941,0.0005941
43,598.87,0.03959,0.98498,1,0.0713,0.0005842,0.0005842,0.0005842
44,612.362,0.08091,0.99099,1,0.01844,0.0005743,0.0005743,0.0005743
45,626.257,0.03712,0.99099,1,0.01728,0.0005644,0.0005644,0.0005644
46,639.924,0.02917,0.997,1,0.01018,0.0005545,0.0005545,0.0005545
47,653.418,0.04,0.99399,1,0.0212,0.0005446,0.0005446,0.0005446
48,666.873,0.04434,0.99399,1,0.02809,0.0005347,0.0005347,0.0005347
49,680.885,0.10617,0.99399,1,0.02282,0.0005248,0.0005248,0.0005248
50,694.683,0.05991,0.99099,1,0.01897,0.0005149,0.0005149,0.0005149
51,708.766,0.05794,0.99099,1,0.02236,0.000505,0.000505,0.000505
52,722.903,0.04905,0.99099,1,0.01691,0.0004951,0.0004951,0.0004951
53,736.722,0.03189,1,1,0.01119,0.0004852,0.0004852,0.0004852
54,750.832,0.02679,0.99399,1,0.01745,0.0004753,0.0004753,0.0004753
55,764.875,0.02617,0.997,1,0.00933,0.0004654,0.0004654,0.0004654
56,778.348,0.02973,0.99399,1,0.01145,0.0004555,0.0004555,0.0004555
57,791.735,0.02818,0.99099,1,0.01227,0.0004456,0.0004456,0.0004456
58,805.897,0.02089,0.99399,1,0.01382,0.0004357,0.0004357,0.0004357
59,819.094,0.0172,0.98799,1,0.02747,0.0004258,0.0004258,0.0004258
60,832.828,0.03348,0.99099,1,0.03705,0.0004159,0.0004159,0.0004159
61,846.713,0.05579,0.99399,1,0.01335,0.000406,0.000406,0.000406
62,860.46,0.04076,1,1,0.00342,0.0003961,0.0003961,0.0003961
63,874.425,0.01848,0.997,1,0.00674,0.0003862,0.0003862,0.0003862
64,887.987,0.01519,0.997,1,0.00561,0.0003763,0.0003763,0.0003763
65,901.794,0.01247,0.997,1,0.00467,0.0003664,0.0003664,0.0003664
66,915.469,0.02027,0.99399,1,0.01629,0.0003565,0.0003565,0.0003565
67,928.913,0.01271,0.99099,1,0.01789,0.0003466,0.0003466,0.0003466
68,943.041,0.0458,0.99399,1,0.01823,0.0003367,0.0003367,0.0003367
69,956.623,0.06749,0.99099,1,0.02498,0.0003268,0.0003268,0.0003268
70,970.218,0.01844,0.99399,1,0.01228,0.0003169,0.0003169,0.0003169
71,984.477,0.02943,0.997,1,0.0054,0.000307,0.000307,0.000307
72,997.867,0.01507,0.997,1,0.00983,0.0002971,0.0002971,0.0002971
73,1011.54,0.13731,0.997,1,0.0089,0.0002872,0.0002872,0.0002872
74,1025.82,0.03599,0.997,1,0.01569,0.0002773,0.0002773,0.0002773
75,1039.37,0.03436,0.99099,1,0.0461,0.0002674,0.0002674,0.0002674
76,1053.26,0.02466,0.97598,1,0.06595,0.0002575,0.0002575,0.0002575
77,1067.69,0.0188,0.98799,1,0.01588,0.0002476,0.0002476,0.0002476
78,1081.35,0.01424,0.98498,1,0.03269,0.0002377,0.0002377,0.0002377
79,1095.34,0.01149,0.99399,1,0.02388,0.0002278,0.0002278,0.0002278
80,1109.11,0.02335,0.99099,1,0.01545,0.0002179,0.0002179,0.0002179
81,1123.35,0.01694,0.97898,1,0.06288,0.000208,0.000208,0.000208
82,1136.86,0.01269,0.98198,1,0.04455,0.0001981,0.0001981,0.0001981
83,1150.8,0.01059,0.98198,1,0.04441,0.0001882,0.0001882,0.0001882
84,1164.47,0.01809,0.99399,1,0.05888,0.0001783,0.0001783,0.0001783
85,1178.45,0.01978,0.99399,1,0.03058,0.0001684,0.0001684,0.0001684
86,1192.34,0.02993,0.98799,1,0.0274,0.0001585,0.0001585,0.0001585
87,1206.41,0.01658,0.99399,1,0.02132,0.0001486,0.0001486,0.0001486
88,1220.25,0.00741,0.99399,1,0.023,0.0001387,0.0001387,0.0001387
89,1234.37,0.01238,0.997,1,0.00903,0.0001288,0.0001288,0.0001288
90,1248.2,0.01282,0.997,1,0.00651,0.0001189,0.0001189,0.0001189
91,1263.54,0.00755,0.997,1,0.02575,0.000109,0.000109,0.000109
92,1277.4,0.00298,0.997,1,0.01008,9.91e-05,9.91e-05,9.91e-05
93,1291.01,0.0059,0.997,1,0.00841,8.92e-05,8.92e-05,8.92e-05
94,1305.19,0.00554,0.997,1,0.00597,7.93e-05,7.93e-05,7.93e-05
95,1318.78,0.0133,1,1,0.00435,6.94e-05,6.94e-05,6.94e-05
96,1332.23,0.01666,1,1,0.00486,5.95e-05,5.95e-05,5.95e-05
97,1346.18,0.0274,0.997,1,0.00564,4.96e-05,4.96e-05,4.96e-05
98,1359.99,0.02813,0.99399,1,0.01083,3.97e-05,3.97e-05,3.97e-05
99,1373.79,0.00342,1,1,0.00534,2.98e-05,2.98e-05,2.98e-05
100,1387.88,0.01006,1,1,0.00608,1.99e-05,1.99e-05,1.99e-05
